training/avg_reward,x_axis/optimization_steps,x_axis/samples_seen,x_axis/samples_collected,x_axis/epochs,training/pg_loss,training/v_loss,training/entropy,training/approx_kl,training/clipfrac,training/grad_norm,training/ent_coef,training/PPD_loss,training/SPS,training/n_better_episodes,training/learning_rate,iteration,global_step,Test/Episode Reward Student on OD test,Test/Mean entropy Student on OD test
,20.0,4608.0,1152.0,1.0,0.26505762338638306,36.357181549072266,-0.6247937679290771,6.171321868896484,0.9412109375,226.0231475830078,0.0,8.466811180114746,31.0,0.0,0.0003,1,1152,,
,,,,,,,,,,,,,,,,1,1152,-142.72711848060942,-0.62488335
-102.57953856261416,40.0,9216.0,2304.0,2.0,0.03258279711008072,29.550264358520508,-0.6312133073806763,0.15783023834228516,0.29296875,131.2318878173828,0.0,13.007745742797852,32.0,0.0,0.0003,2,2304,,
,60.0,13824.0,3456.0,3.0,0.03316231071949005,41.01985168457031,-0.5919069051742554,0.046531595289707184,0.3435546875,116.30072021484375,0.0,12.368192672729492,44.0,0.0,0.0003,3,3456,,
-105.63878912441889,80.0,18432.0,4608.0,4.0,-0.01781640201807022,38.44493103027344,-0.5896245837211609,0.02361757680773735,0.2927734375,96.4527816772461,0.0,10.291793823242188,57.0,0.0,0.0003,4,4608,,
-106.07899633814301,100.0,23040.0,5760.0,5.0,0.08892719447612762,26.33719253540039,-0.5313278436660767,0.06018497049808502,0.3083984375,136.12039184570312,0.0,11.997309684753418,69.0,0.0,0.0003,5,5760,,
,120.0,27648.0,6912.0,6.0,-0.004930086433887482,41.34016418457031,-0.5258063077926636,0.023166518658399582,0.190625,140.28286743164062,0.0,11.06716537475586,81.0,0.0,0.0003,6,6912,,
-106.99543720008757,140.0,32256.0,8064.0,7.0,0.008852865546941757,33.329681396484375,-0.5087123513221741,0.03749929368495941,0.2451171875,265.7628173828125,0.0,10.873627662658691,92.0,0.0,0.0003,7,8064,,
-113.53486534452166,160.0,36864.0,9216.0,8.0,-0.021150987595319748,36.810211181640625,-0.49907124042510986,0.030195683240890503,0.28125,202.45179748535156,0.0,11.234991073608398,103.0,0.0,0.0003,8,9216,,
,180.0,41472.0,10368.0,9.0,0.044816210865974426,45.169151306152344,-0.49588268995285034,0.07298155128955841,0.3181640625,185.46600341796875,0.0,10.710372924804688,113.0,0.0,0.0003,9,10368,,
-113.30981629844129,200.0,46080.0,11520.0,10.0,0.04106955602765083,34.500396728515625,-0.4862215518951416,0.04944418743252754,0.2189453125,203.33253479003906,0.0,10.993816375732422,122.0,0.0,0.0003,10,11520,,
,220.0,50688.0,12672.0,11.0,0.02758772298693657,48.371299743652344,-0.4945257306098938,0.03137809783220291,0.1943359375,225.23141479492188,0.0,12.839447975158691,131.0,0.0,0.0003,11,12672,,
-118.99059907909961,240.0,55296.0,13824.0,12.0,0.0930270403623581,43.54279327392578,-0.47844401001930237,0.11140960454940796,0.255078125,232.094482421875,0.0,11.27601432800293,140.0,0.0,0.0003,12,13824,,
-112.95755995942838,260.0,59904.0,14976.0,13.0,0.008032754063606262,36.0208740234375,-0.5111026763916016,0.03794565796852112,0.221484375,581.3765258789062,0.0,10.300601959228516,148.0,0.0,0.0003,13,14976,,
,280.0,64512.0,16128.0,14.0,-0.000842563807964325,47.92743682861328,-0.521309494972229,0.03647485375404358,0.3216796875,121.48640441894531,0.0,10.115367889404297,156.0,0.0,0.0003,14,16128,,
-119.5042811070046,300.0,69120.0,17280.0,15.0,0.06036534905433655,43.80735778808594,-0.5165054798126221,0.08813385665416718,0.266015625,371.8262634277344,0.0,11.510412216186523,163.0,0.0,0.0003,15,17280,,
-115.18663133251289,320.0,73728.0,18432.0,16.0,0.03603964298963547,46.60712432861328,-0.5237523317337036,0.03951536491513252,0.1625,1239.3157958984375,0.0,11.767900466918945,169.0,0.0,0.0003,16,18432,,
,340.0,78336.0,19584.0,17.0,0.03299800306558609,41.17741394042969,-0.518608570098877,0.07123394310474396,0.219140625,199.00411987304688,0.0,10.327070236206055,173.0,0.0,0.0003,17,19584,,
-111.09253501741415,360.0,82944.0,20736.0,18.0,-0.014713741838932037,42.54979705810547,-0.5271199941635132,0.023736607283353806,0.17578125,963.3699340820312,0.0,10.0469388961792,175.0,0.0,0.0003,18,20736,,
-107.7595593055628,380.0,87552.0,21888.0,19.0,0.016897078603506088,34.15880584716797,-0.5116565227508545,0.04701489210128784,0.167578125,368.4653625488281,0.0,10.55443000793457,177.0,0.0,0.0003,19,21888,,
,400.0,92160.0,23040.0,20.0,0.03357201814651489,40.48552703857422,-0.49770593643188477,0.10807015746831894,0.26640625,398.1143493652344,0.0,11.450267791748047,183.0,0.0,0.0003,20,23040,,
-111.15639518413037,420.0,96768.0,24192.0,21.0,0.007561428472399712,47.031593322753906,-0.5062146186828613,0.029153991490602493,0.2583984375,1090.5555419921875,0.0,10.699272155761719,189.0,0.0,0.0003,21,24192,,
,440.0,101376.0,25344.0,22.0,0.04241645336151123,43.75123977661133,-0.47836118936538696,0.05275804176926613,0.2517578125,308.9259948730469,0.0,9.837128639221191,194.0,0.0,0.0003,22,25344,,
-113.6228110017127,460.0,105984.0,26496.0,23.0,0.007684621959924698,76.9969482421875,-0.4779767394065857,0.024311410263180733,0.211328125,1972.729736328125,0.0,9.352264404296875,199.0,0.0,0.0003,23,26496,,
-113.5227981041557,480.0,110592.0,27648.0,24.0,-0.022538047283887863,53.61636734008789,-0.48391008377075195,0.03183438628911972,0.0998046875,622.1438598632812,0.0,10.347259521484375,204.0,0.0,0.0003,24,27648,,
,500.0,115200.0,28800.0,25.0,0.010330013930797577,42.679283142089844,-0.5212481021881104,0.0755346417427063,0.269921875,357.04132080078125,0.0,10.576420783996582,209.0,0.0,0.0003,25,28800,,
