training/avg_reward,training/avg_accuracy,iteration,training/entropy,training/approx_kl,training/grad_norm,training/ent_coef,training/Distillation_loss,test/accuracy_OD_under_T,x_axis/optimization_steps,x_axis/samples_seen,x_axis/samples_collected,x_axis/epochs,training/SPS,training/learning_rate,global_step,Test/Episode Reward Student on OD test,Test/Mean entropy Student on OD test,Test/Accuracy (under Student) on OD test,Test/Mean entropy Teacher (under Student) on OD test
,-0.2568882703781128,1,-0.7096972465515137,2.7515244483947754,4.13238000869751,0.0,1.0976817607879639,0.4630920082330704,4,1024,90,1,2,0.0003,90,-87.20823461216062,-0.71812963,-0.6598436786979437,12.414766
,0.06974941492080688,1,-0.7269846200942993,0.6200343370437622,0.995908260345459,0.0,1.0930171012878418,,8,2048,180,2,4,0.0003,90,-87.20823461216062,-0.71812963,-0.6598436786979437,12.414766
,-0.16308319568634033,1,-0.7301701903343201,0.7845203876495361,1.3227485418319702,0.0,1.3373545408248901,,12,3072,270,3,7,0.0003,90,-87.20823461216062,-0.71812963,-0.6598436786979437,12.414766
,-0.18075966835021973,1,-0.7164457440376282,0.25578901171684265,1.8005411624908447,0.0,1.77545964717865,,16,4096,360,4,9,0.0003,90,-87.20823461216062,-0.71812963,-0.6598436786979437,12.414766
,-0.37478554248809814,1,-0.7073789834976196,0.37223631143569946,1.540493369102478,0.0,1.563758373260498,,20,5120,450,5,11,0.0003,90,-87.20823461216062,-0.71812963,-0.6598436786979437,12.414766
,-0.22012770175933838,1,-0.7020957469940186,0.2615225911140442,1.0803791284561157,0.0,1.5063649415969849,,24,6144,540,6,13,0.0003,90,-87.20823461216062,-0.71812963,-0.6598436786979437,12.414766
,-0.0592348575592041,1,-0.7191450595855713,0.5206955075263977,0.8962274193763733,0.0,1.341720700263977,,28,7168,630,7,15,0.0003,90,-87.20823461216062,-0.71812963,-0.6598436786979437,12.414766
,-0.2687561511993408,1,-0.7213806509971619,0.24580435454845428,0.8827246427536011,0.0,1.4160743951797485,,32,8192,720,8,17,0.0003,90,-87.20823461216062,-0.71812963,-0.6598436786979437,12.414766
,-0.11090397834777832,1,-0.7207252383232117,0.22821931540966034,1.152404546737671,0.0,1.603904128074646,,36,9216,810,9,19,0.0003,90,-87.20823461216062,-0.71812963,-0.6598436786979437,12.414766
,-0.05598294734954834,1,-0.7548416256904602,0.5824134349822998,2.4500572681427,0.0,1.5674395561218262,,40,10240,900,10,21,0.0003,90,-87.20823461216062,-0.71812963,-0.6598436786979437,12.414766
,-0.2517433166503906,1,-0.7236243486404419,0.5971176028251648,0.5576338768005371,0.0,1.3840100765228271,,44,11264,990,11,23,0.0003,90,-87.20823461216062,-0.71812963,-0.6598436786979437,12.414766
,-0.2693173885345459,1,-0.71050626039505,0.07411439716815948,0.8395172357559204,0.0,1.4865154027938843,,48,12288,1080,12,25,0.0003,90,-87.20823461216062,-0.71812963,-0.6598436786979437,12.414766
,-0.211014986038208,1,-0.7225187420845032,0.2920805811882019,0.6928389668464661,0.0,1.419128179550171,,52,13312,1170,13,27,0.0003,90,-87.20823461216062,-0.71812963,-0.6598436786979437,12.414766
,-0.1755506992340088,1,-0.7395044565200806,0.21051852405071259,0.8962002396583557,0.0,1.4785796403884888,,56,14336,1260,14,28,0.0003,90,-87.20823461216062,-0.71812963,-0.6598436786979437,12.414766
,-0.39987826347351074,1,-0.7386288046836853,0.23231172561645508,0.9308820366859436,0.0,1.650333285331726,,60,15360,1350,15,30,0.0003,90,-87.20823461216062,-0.71812963,-0.6598436786979437,12.414766
,-0.418262243270874,1,-0.7477271556854248,0.09333685040473938,1.519321322441101,0.0,1.7673219442367554,,64,16384,1440,16,32,0.0003,90,-87.20823461216062,-0.71812963,-0.6598436786979437,12.414766
,-0.3570898771286011,1,-0.8128520846366882,0.7252039909362793,2.570183753967285,0.0,1.6257680654525757,,68,17408,1530,17,33,0.0003,90,-87.20823461216062,-0.71812963,-0.6598436786979437,12.414766
,-0.177618145942688,1,-0.8111453652381897,0.49953117966651917,2.8456871509552,0.0,1.5854144096374512,,72,18432,1620,18,35,0.0003,90,-87.20823461216062,-0.71812963,-0.6598436786979437,12.414766
,-0.4589923620223999,1,-0.7508310079574585,0.2691859006881714,1.412585973739624,0.0,1.6873130798339844,,76,19456,1710,19,36,0.0003,90,-87.20823461216062,-0.71812963,-0.6598436786979437,12.414766
-95.92924373687117,-0.44372642040252686,1,-0.7663059234619141,0.08077740669250488,1.4831056594848633,0.0,1.5953009128570557,,80,20480,1800,20,38,0.0003,90,-87.20823461216062,-0.71812963,-0.6598436786979437,12.414766
,-0.05288124084472656,1,-0.8163365721702576,0.4738818407058716,3.117117404937744,0.0,1.1881444454193115,,84,21504,1890,21,40,0.0003,90,-87.20823461216062,-0.71812963,-0.6598436786979437,12.414766
,0.1605883240699768,1,-0.8900626301765442,1.9231159687042236,3.646495819091797,0.0,0.9708535075187683,,88,22528,1980,22,41,0.0003,90,-87.20823461216062,-0.71812963,-0.6598436786979437,12.414766
,0.23280733823776245,1,-0.8989614844322205,0.18166783452033997,6.609932899475098,0.0,1.1074419021606445,,92,23552,2070,23,43,0.0003,90,-87.20823461216062,-0.71812963,-0.6598436786979437,12.414766
,0.09631097316741943,1,-0.7997311353683472,2.4626216888427734,1.13223135471344,0.0,1.0698310136795044,,96,24576,2160,24,44,0.0003,90,-87.20823461216062,-0.71812963,-0.6598436786979437,12.414766
,-0.21870934963226318,25,-0.7620068192481995,0.18131080269813538,0.8898200988769531,0.0,1.446998119354248,0.7817410573363304,100,25600,2250,25,27,0.0003,2250,-69.00042187702878,-0.85367507,-1.067268035411835,18.73971
,-0.12988650798797607,25,-0.7472848892211914,0.07046633213758469,1.1072450876235962,0.0,1.5760498046875,,104,26624,2340,26,28,0.0003,2250,-69.00042187702878,-0.85367507,-1.067268035411835,18.73971
,-0.05689561367034912,25,-0.7642691731452942,0.06165187060832977,0.8607074618339539,0.0,1.4313127994537354,,108,27648,2430,27,29,0.0003,2250,-69.00042187702878,-0.85367507,-1.067268035411835,18.73971
,-0.16704833507537842,25,-0.8322587013244629,0.2288549244403839,1.4703214168548584,0.0,1.29434335231781,,112,28672,2520,28,30,0.0003,2250,-69.00042187702878,-0.85367507,-1.067268035411835,18.73971
